Unnamed: 0,CIK,Name of fund,Quater of report,Signing date,Name of Issuer,Ticker of Issuer,CUSIP,Value (x$1000),Shares,Shares type,Investment Discretion,Voting Sole,Shared,None,Ticker of Issuer 2
0,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,A10 NETWORKS INC,ATEN,002121101,188585,10041,SH,SOLE,10041,0,0,ATEN
1,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,ABBVIE INC,ABBV,00287Y109,140,1340,SH,SOLE,1340,0,0,ABBV
2,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,ACCEL ENTERTAINMENT INC,acel,00436Q106,217,287328,SH,SOLE,287328,0,0,
3,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,ADTRAN INC,ADTN,00738A106,3500,187092,SH,SOLE,187092,0,0,ADTN
4,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,AMERESCO INC,AMRC,02361E108,3452,10401,SH,SOLE,10401,0,0,AMRC
5,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,AMERICAN VANGUARD CORPORATION,AVD,030371108,827,10529,SH,SOLE,10529,0,0,AVD
6,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,AMERIS BANCORP,ABCB,03076K108,214,53857,SH,SOLE,53857,0,0,ABCB
7,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,AMMO INC,POWW,00175J107,2363,105000,SH,SOLE,105000,0,0,RTRO
8,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,ANI PHARMACEUTICALS INC,ANIP,00182C103,504,18178,SH,SOLE,18178,0,0,ANIP
9,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,APOLLO ENDOSURGERY INC,APEN,03767D108,511,73932,SH,SOLE,73932,0,0,APEN
10,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,ARCUTIS BIOTHERAPEUTICS INC,ARQT,03969K108,447,75192,SH,SOLE,75192,0,0,ARQT
11,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,ARGO GROUP INTERNATIONAL HOLDINGS LTD,No Symbol Found,G0464B107,1448,39861,SH,SOLE,39861,0,0,AGII
12,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,AVIENT CORPORATION,AVNT,05368V106,1645,90505,SH,SOLE,90505,0,0,
13,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,BM TECHNOLOGIES INC,BMTX,05591L107,4344,342405,SH,SOLE,342405,0,0,
14,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,BOX INC,BOX,10316T104,2928,46472,SH,SOLE,46472,0,0,BOX
15,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,CACI INTERNATIONAL INC,CA8A.F,127190304,1350,10079,SH,SOLE,10079,0,0,CACI
16,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,CADENCE BANK,CADE,12740C103,3036,7560,SH,SOLE,7560,0,0,
17,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,CAESARS ENTERTAINMENT INC NE,No Symbol Found,12769G100,222,47603,SH,SOLE,47603,0,0,
18,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,CARPENTER TECHNOLOGY CORPORATION,CRS,144285103,3683,76283,SH,SOLE,76283,0,0,CRS
19,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,CERENCE INC,CRNC,156727109,3202,42338,SH,SOLE,42338,0,0,CRNC
20,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,CHARLES RIV LABORATORIES INTERNATIONAL INC,No Symbol Found,159864107,1528,5728,SH,SOLE,5728,0,0,
21,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,CHART INDS INC,I3N.BE,16115Q308,1627,7742,SH,SOLE,7742,0,0,I3N.BE
22,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,CIRRUS LOGIC INC,CRUS,172755100,1330,18523,SH,SOLE,18523,0,0,CRUS
23,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,CITY OFFICE REIT INC,CIO,178587101,1571,12218,SH,SOLE,12218,0,0,CIO
24,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,CLARUS CORPORATION NEW,No Symbol Found,18270P109,216,9784,SH,SOLE,9784,0,0,
25,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,COPA HOLDINGS SA,CPA,P31076105,223,44271,SH,SOLE,44271,0,0,
26,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,CUSTOM TRUCK ONE SOURCE INC,CTOS,23204X103,3703,129058,SH,SOLE,129058,0,0,
27,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,DARLING INGREDIENTS INC,DAR,237266101,1083,62973,SH,SOLE,62973,0,0,DAR
28,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,DIGITAL TURBINE INC,APPS,25400W102,5062,75601,SH,SOLE,75601,0,0,APPS
29,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,DOCGO INC,DCGO,256086109,3312,104227,SH,SOLE,104227,0,0,DCGOW
30,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,DOUBLEVERIFY HOLDINGS INC,No Symbol Found,25862V105,964,101155,SH,SOLE,101155,0,0,
31,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,DRAFTKINGS INC,DKNG,26142R104,2546,52752,SH,SOLE,52752,0,0,DKNG
32,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,DYNATRACE INC,DT,268150109,1027,22919,SH,SOLE,22919,0,0,
33,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,DZS INC,DZSI,268211109,1079,55806,SH,SOLE,55806,0,0,DZSI
34,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,EAGLE MATERIALS INC,No Symbol Found,26969P108,774,8079,SH,SOLE,8079,0,0,EXP
35,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,EMERALD HOLDING INC,EEX,29103W104,1037,511069,SH,SOLE,511069,0,0,
36,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,FB FINANCIAL CORPORATION,No Symbol Found,30257X104,1738,39215,SH,SOLE,39215,0,0,
37,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,FERROGLOBE PLC,GSM,G33856108,1742,256097,SH,SOLE,256097,0,0,GSM
38,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,G III APPAREL GROUP LTD,GIII,36237H101,1972,73866,SH,SOLE,73866,0,0,GIII
39,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,GAMIDA CELL LTD,GMDA,M47364100,1998,10000,SH,SOLE,10000,0,0,GMDA
40,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,GLOBAL MED REIT INC,GMRE,37954A204,42,13678,SH,SOLE,13678,0,0,
41,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,GRAPHIC PACKAGING HOLDING COMPANY,No Symbol Found,388689101,223,91876,SH,SOLE,91876,0,0,GPK
42,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,HEIDRICK & STRUGGLES INTERNATIONAL IN,HSI.SG,422819102,1841,5559,SH,SOLE,5559,0,0,HSII
43,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,HIGHPEAK ENERGY INC,HPK,43114Q105,220,187028,SH,SOLE,187028,0,0,HPKEW
44,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,HORIZON THERAPEUTICS PUB L,HZNP,G46188101,4152,121840,SH,SOLE,121840,0,0,
45,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,HUDBAY MINERALS INC,HBM,443628102,12819,25319,SH,SOLE,25319,0,0,HBM
46,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,ISHARES TRUST,REM,464288687,199,6586,SH,SOLE,6586,0,0,IZZ.AX
47,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,ISHARES TRUST,REM,46429B655,240,8888,SH,SOLE,8888,0,0,IZZ.AX
48,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,KALEYRA INC,KLR,483379103,449,448287,SH,SOLE,448287,0,0,
49,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,KORN FERRY,KFY,500643200,2681,43480,SH,SOLE,43480,0,0,KFY
50,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,LIVENT CORPORATION,LTHM,53814L108,2824,318459,SH,SOLE,318459,0,0,
51,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,LOVESAC COMPANY,LOVE,54738L109,8302,23367,SH,SOLE,23367,0,0,LOVE
52,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,LSB INDS INC,No Symbol Found,502160104,1263,115077,SH,SOLE,115077,0,0,
53,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,LUMENTUM HOLDINGS INC,No Symbol Found,55024U109,2513,18924,SH,SOLE,18924,0,0,LITE
54,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,MAGNACHIP SEMICONDUCTOR CORPORATION,MX,55933J203,1847,203429,SH,SOLE,203429,0,0,MX
55,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,MAGNITE INC,MGNI,55955D100,3440,58646,SH,SOLE,58646,0,0,MGNI
56,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,MANNKIND CORPORATION,MNKD,56400P706,775,557051,SH,SOLE,557051,0,0,MNKD
57,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,MARCUS CORPORATION DEL,No Symbol Found,566330106,2050,11971,SH,SOLE,11971,0,0,
58,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,MAXLINEAR INC,MXL,57776J100,212,113361,SH,SOLE,113361,0,0,MXL
59,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,MICROSOFT CORPORATION,MSFT,594918104,6615,1123,SH,SOLE,1123,0,0,MSFT
60,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,NAVIGATOR HOLDINGS LTD,1NV.F,Y62132108,346,13916,SH,SOLE,13916,0,0,NVGS
61,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,NVIDIA CORPORATION,NVDA,67066G104,170,817,SH,SOLE,817,0,0,NVDA
62,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,OLLIES BARGAIN OUTLET HOLDINGS,No Symbol Found,681116109,224,16697,SH,SOLE,16697,0,0,
63,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,OPEN LENDING CORPORATION,LPRO,68373J104,717,52217,SH,SOLE,52217,0,0,LPRO
64,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,PACIRA BIOSCIENCES INC,PCRX,695127100,987,12610,SH,SOLE,12610,0,0,PCRX
65,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,PARATEK PHARMACEUTICALS INC,PRTK,699374302,962,509828,SH,SOLE,509828,0,0,PRTK
66,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,PATTERSON-UTI ENERGY INC,PTEN,703481101,1514,133320,SH,SOLE,133320,0,0,PTEN
67,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,PAYCOM SOFTWARE INC,PAYC,70432V102,2064,992,SH,SOLE,992,0,0,PAYC
68,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,PENN NATIONAL GAMING INC,No Symbol Found,707569109,344,21398,SH,SOLE,21398,0,0,PENN
69,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,PERION NETWORK LTD,PERI,M78673114,908,197891,SH,SOLE,197891,0,0,PERI
70,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,PHYSICIANS REALTY TRUST,No Symbol Found,71943U104,4451,13373,SH,SOLE,13373,0,0,DOC
71,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,PILGRIMS PRIDE CORPORATION,PPC,72147K108,235,45703,SH,SOLE,45703,0,0,
72,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,PILGRIMS PRIDE CORPORATION,PPC,72147K908,1147,10000,SH,SOLE,10000,0,0,
73,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,PING IDENTITY HOLDING CORPORATION,No Symbol Found,72341T103,251,52887,SH,SOLE,52887,0,0,
74,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,POWERSCHOOL HOLDINGS INC,PWSC,73939C106,1451,85698,SH,SOLE,85698,0,0,
75,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,PROPETRO HOLDING CORPORATION,No Symbol Found,74347M108,1415,202295,SH,SOLE,202295,0,0,
76,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,PURECYCLE TECHNOLOGIES INC,PCT,74623V111,2818,159811,SH,SOLE,159811,0,0,PCTTU
77,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,QUALTEK SERVICES INC,QTEK,74760R113,459,79881,SH,SOLE,79881,0,0,QTEKW
78,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,QUIDEL CORPORATION,QDEL,74838J101,46,7969,SH,SOLE,7969,0,0,QDEL
79,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,RANGER OIL CORPORATION,ROCC,70788V102,896,102352,SH,SOLE,102352,0,0,ROCC
80,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,REPLIGEN CORPORATION,RGEN,759916109,3534,5623,SH,SOLE,5623,0,0,RGEN
81,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,RESERVOIR MEDIA INC,RSVR,76119X113,1058,156188,SH,SOLE,156188,0,0,RSVRW
82,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,RINGCENTRAL INC,RNG,76680R206,351,26971,SH,SOLE,26971,0,0,RNG
83,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,ROTH CH ACQUISITION IV COMPANY,ROCGU,77867P104,3161,418679,SH,SOLE,418679,0,0,
84,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,ROTH CH ACQUISITION IV COMPANY,ROCGU,77867P112,4149,211997,SH,SOLE,211997,0,0,
85,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,SEACOAST BANKING CORPORATION FLORIDA,No Symbol Found,811707801,57,33532,SH,SOLE,33532,0,0,SBCF
86,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,SEELOS THERAPEUTICS INC,SEEL,81577F109,1174,99819,SH,SOLE,99819,0,0,SEEL
87,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,SEMTECH CORPORATION,SMTC,816850101,84,77879,SH,SOLE,77879,0,0,SMTC
88,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,SILICON MOTION TECHNOLOGY COMPANY,SIMO,82706C108,5400,5112,SH,SOLE,5112,0,0,
89,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,SILICON MOTION TECHNOLOGY COMPANY,SIMO,82706C908,342,4200,SH,SOLE,4200,0,0,
90,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,SKECHERS U S A INC,No Symbol Found,830566105,281,25218,SH,SOLE,25218,0,0,SKX
91,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,SM ENERGY COMPANY,SM,78454L100,1028,71602,SH,SOLE,71602,0,0,SM
92,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,SPDR SER TRUST,XBI,78464A375,2789,8190,SH,SOLE,8190,0,0,
93,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,STERLING CONSTRUCTION INC,No Symbol Found,859241101,280,55448,SH,SOLE,55448,0,0,STRL
94,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,SUMMIT HOTEL PROPERTIES INC,No Symbol Found,866082100,1486,19824,SH,SOLE,19824,0,0,INN
95,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,SUMMIT MATERIALS INC,No Symbol Found,86614U100,197,37610,SH,SOLE,37610,0,0,SUM
96,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,SYNEOS HEALTH INC,SYNH,87166B102,1168,49848,SH,SOLE,49848,0,0,SYNH
97,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,TANDEM DIABETES CARE INC,TNDM,875372203,4035,10372,SH,SOLE,10372,0,0,TNDM
98,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,THIRD COAST BANCSHARES INC,TCBX,88422P109,1206,52214,SH,SOLE,52214,0,0,TCBX
99,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,TILLYS INC,TLYS,886885102,1206,217167,SH,SOLE,217167,0,0,
100,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,TREMOR INTERNATIONAL LTD,TTTPF,89484T104,2033,214909,SH,SOLE,214909,0,0,TRMR
101,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,TYME TECHNOLOGIES INC,TYME,90238J103,3269,159379,SH,SOLE,159379,0,0,TYMI
102,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,UNIVERSAL DISPLAY CORPORATION,OLED,91347P105,56,7904,SH,SOLE,7904,0,0,OLED
103,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,VANGUARD INTERNATIONAL EQUITY INDEX F,VWO.MX,922042775,1320,15591,SH,SOLE,15591,0,0,
104,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,VERITEX HOLDINGS INC,47Y.F,923451108,897,89801,SH,SOLE,89801,0,0,VBTX
105,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,WHOLE EARTH BRANDS INC,FREE,96684W100,3428,176179,SH,SOLE,176179,0,0,FREEW
106,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,WINTRUST FINANCIAL CORPORATION,No Symbol Found,97650W108,1261,3665,SH,SOLE,3665,0,0,WTFC
107,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,ZIONS BANCORPORATION N A,No Symbol Found,989701107,341,4831,SH,SOLE,4831,0,0,ZION
